ID	adj.P.Val	P.Value	t	B	logFC
NBPF20	1.81780530190091e-18	1.84441482833047e-20	-10.7612113742293	35.8985852198223	-1.03770174014032
AGXT2L1	2.67063109624937e-18	2.73795081473539e-20	-10.6972243621748	35.468054027484	-1.18287228273635
DARC	5.15036323329493e-18	5.56597411197386e-20	-10.5821863100158	34.7991830106071	-1.02791252962214
FCN1	9.50221954690728e-18	1.06707269128457e-19	-10.4765035610695	34.1454783264858	-1.26697337250101
TM7SF2	1.01296946468382e-17	1.14288950330283e-19	10.465348677862	34.1174930181104	1.07697098014082
IER3	1.09843581603194e-17	1.2509270113348e-19	10.4506671158891	34.0186363989309	1.22467279057913
CA3	1.08531926984764e-17	1.23312182538309e-19	10.4529974891731	33.8340035631175	1.33884205000158
PROM1	3.9653392355366e-17	4.86159014239017e-19	10.2296300556549	32.667345221503	1.17376052977296
SLITRK4	6.34145280772541e-17	8.09311870774024e-19	10.1464410210665	32.0940357390359	1.25817266108242
ISG20	9.78391723530304e-17	1.28742556232651e-18	-10.0705628114168	31.7006274058357	-1.07918193691595
TAF15	1.1344114967425e-16	1.5017179090736e-18	10.0453734479257	31.5773587879176	1.03932631533743
SNCA	1.26018683204575e-16	1.68486639807417e-18	10.0265387507119	31.4159671433574	1.00028286971076
PDK4	1.63589901512571e-16	2.24770778382225e-18	-9.97933532467708	31.1922042132755	-1.95937586013862
MLLT11	3.02038939652721e-16	4.39532821574402e-18	9.8693353569754	30.5304671408732	1.13115279436403
CLIC6	4.62914565421532e-16	6.93527872414544e-18	9.79438595104431	30.0673787933628	1.37745641680699
ADFP	7.53027898888917e-16	1.16000439954616e-17	-9.70970968752806	29.5730917186867	-1.11580796525442
CCL2	9.03911531605609e-16	1.40676397007796e-17	-9.67791950544281	29.3709015038814	-1.39705448614667
LMCD1	1.01452998061262e-15	1.59500432929373e-17	-9.6572072508575	29.2588763209089	-1.39244963719479
FAM46B	1.00312026222728e-15	1.57441588480421e-17	-9.65935045647607	29.250161467607	-1.05502433725761
CFD	1.0566261962813e-15	1.66397826186032e-17	-9.65022287665778	29.2247353500626	-1.40235028183696
APOLD1	2.2209953291068e-15	3.72063372259608e-17	-9.51724722358436	28.4142848400819	-1.48037988157302
FMOD	2.81388007613109e-15	4.85510672122179e-17	9.47317243761696	28.0860490254579	1.07478737951187
GADD45G	7.48599591814688e-15	1.3865885796705e-16	-9.29889086781673	27.1329177613163	-1.17093092665824
NPTX2	7.43420936379322e-15	1.37503211823053e-16	-9.30028405461246	27.0241924846387	-1.03553941346281
TPM3	1.15409723822358e-14	2.21085583076704e-16	9.22114495585935	26.6017370144094	1.30128826042748
SNF1LK	1.23203804115408e-14	2.3699299634312e-16	-9.209551632214	26.4994693793958	-1.01651706771043
APOA1	4.03910431885404e-14	8.62335858382408e-16	8.99330805783384	25.317706659705	1.61800648558147
STS-1	5.71308287961508e-14	1.26350218523432e-15	-8.92907470225258	24.851700861836	-1.02043536028402
SPP1	2.70583233367651e-13	6.62654597747407e-15	-8.64879445724393	23.242311216214	-1.09167363814496
SH3GL2	3.41247470366148e-13	8.55688446275628e-15	8.60530597832117	23.036853844636	1.01397418934725
ITGA5	8.08269500632224e-13	2.15490124752395e-14	-8.44759254172761	22.1614999936566	-1.02012100304668
HAMP	8.29027366699373e-12	2.61549087311486e-13	-8.01608330129269	19.5025059586691	-1.01750955475757
C21ORF7	1.67039597966546e-11	5.51266865349615e-13	7.88553458374243	18.9068972379158	1.32812839527595
CDKN1A	2.04697126479985e-11	6.87443977582998e-13	-7.84671938963946	18.7414599390834	-1.07843410408194
MXRA5	4.26585417152373e-11	1.49236139171839e-12	7.70981869042672	18.0134486717216	1.04319218024175
LOC100008589	5.18412493908233e-11	1.83415507409799e-12	7.67323007336632	17.83094403112	1.41789094472469
FOS	2.80349211170927e-10	1.10521857809814e-11	-7.35137791282015	15.9829172785358	-1.41501561787209
COMP	3.16868216497535e-10	1.26090877251305e-11	7.32752137280793	15.5955623726413	1.04386324811497
LOC652097	4.79110803752273e-10	1.95968800985182e-11	7.24744535665181	15.4675366006195	1.08361688837604
TIMP1	6.84716339198541e-10	2.86760925231118e-11	-7.17798788329285	15.1455928644515	-1.00333773594274
CORIN	4.51172695114302e-09	2.17563327322201e-10	-6.80276485214917	13.1089021302197	-1.55383588552241
LEPREL1	3.84699301881334e-08	2.16714821014375e-09	6.36419493215665	10.8255030852268	1.00661161119182
NPPA	0.0145076933446697	0.00251544373851192	3.07226343812713	-2.41962318737948	1.00464576078088
