ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_1782259	0.0405893477130969	4.945773843649e-05	5.46323134500166	1.8621607691193	3.14577437438313	6.91171643079173
ILMN_1715226	0.0417798126154472	6.04536166090547e-05	-5.362140687526	1.83570105288008	-2.37721166652397	6.62525732941257
ILMN_1766499	0.0418154156379594	6.3689613339364e-05	5.33598746814193	1.82858792085029	2.53892266653238	8.280007644905
ILMN_1675325	0.0417798126154472	5.97271332449479e-05	-5.36821044781945	1.8103437470758	-1.87561291987489	6.32179480848057
ILMN_1772627	0.0448040965243216	7.16537984167811e-05	-5.27704717567744	1.73923072233595	-2.14874960894037	7.27839672630371
ILMN_1814770	0.0538062168955547	9.01482576880818e-05	-5.16278576399316	1.60218241399769	-2.51192583295558	8.87872853636488
ILMN_1740728	0.0631015201533213	0.000110527375182879	-5.06199977807161	1.22704398268233	-1.68149073630325	5.7151447704794
ILMN_1757807	0.0698326516165104	0.000132953795629637	-4.97113564941776	1.21400924431687	-3.1266315452218	7.58113727100515
ILMN_1667018	0.0705796083442316	0.000153954088849388	4.8993223125543	1.10258493088005	2.50334305192117	9.28271600508864
ILMN_1724410	0.0705796083442316	0.000158252752558944	4.88586734343303	1.06733655672993	1.12923666262224	8.40795215639534
ILMN_1707077	0.0705796083442316	0.00016408493835498	4.86819966282156	1.06287943100287	1.04126675562832	10.0366113732042
ILMN_1739154	0.0705796083442316	0.000156079692799769	-4.89262159820211	1.05654743670873	-1.70473914391877	7.27382813099521
ILMN_1714228	0.0705796083442316	0.000166764927232139	4.86029586612423	1.0476031668209	0.896404146821405	10.914299082553
ILMN_1704376	0.0705796083442316	0.000163576148266233	4.86971512129869	1.03670024994055	1.48044537912901	8.47562006523882
ILMN_1683178	0.0705796083442316	0.0001720011779008	4.84522207376396	1.00597966851757	1.52141043021162	8.97396374890026
ILMN_1660732	0.0683672009928654	0.000124957187101422	5.00159476790886	0.954161609164023	3.13621364059041	6.23096882231835
ILMN_1739496	0.0721801731737134	0.000186822036140393	4.80497857248933	0.943552608809345	1.70145609397713	10.3933568118171
ILMN_1699440	0.0721801731737134	0.000186895582050587	4.80478713455885	0.93283700373503	1.16709953291036	8.92034487300342
ILMN_1784447	0.0791898909451372	0.000217107308965421	4.73203720676587	0.792987698936022	1.29993192794252	8.73150129508887
ILMN_1769996	0.0847288909778746	0.000251650807108149	4.66059912366224	0.644976248510992	1.19741547958797	8.10755704049383
ILMN_1713744	0.0791898909451372	0.000216799770748916	4.73272422699633	0.638840077900935	2.88759180461391	6.58559377328916
