ID	miRNA_ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_3167500	hsa-miR-608	0.874681174374898	0.669952305612913	0.427202298608033	-6.80567892561828	0.0325991102948961	6.51998369305007
ILMN_3167524	hsa-miR-650	0.904709274361981	0.742730757991495	0.328952969529361	-6.80580293676958	0.0248761355014047	6.60688942321023
ILMN_3168305		0.886201824021844	0.692924706472814	-0.395785272890662	-6.80641444459467	-0.0816602956995842	6.47114494947971
ILMN_3167260	hsa-miR-19b	0.964253584561985	0.896882155072938	-0.129859511994691	-6.81061744141014	-0.0300100204197129	13.0578331821242
ILMN_3168426	hsa-miR-148b	0.951263613991327	0.864029832795615	0.171592525078957	-6.81107642809704	0.0101218608300009	13.0843426499524
ILMN_3167027	hsa-miR-103	0.917114699931305	0.768317688694581	0.295204475335522	-6.81555505764281	0.0108308088539921	13.1570379769252
ILMN_3168156		0.881687605166693	0.681741153046259	0.411028848272947	-6.81920961643959	0.0168021080055931	6.48947228907903
ILMN_3168165	hsa-miR-342-3p	0.844221447225435	0.590880200695111	0.538921858739818	-6.82513256140021	0.01809094233667	13.3815579814845
ILMN_3168138	hsa-miR-30e	0.584239055055505	0.237176550671858	1.18765462253002	-6.82540066232532	0.0825834441672306	14.3453133928784
ILMN_3168780	hsa-miR-582-3p	0.942200498934932	0.842995437558441	0.198467339778641	-6.82884296965863	0.00718090963609619	6.62599223633793
ILMN_3168097	hsa-miR-658	0.802721619004734	0.502710423233919	-0.672139848045836	-6.84601409286797	-0.0179341097259158	6.06823964428263
ILMN_3168391	hsa-miR-361-5p	0.849343236568757	0.607148247806609	0.515425066113589	-6.84919541783805	0.0127886844346303	13.403170036348
ILMN_3167484	hsa-miR-595	0.829036509049237	0.553396632514058	0.594251329860498	-6.84999203796473	0.084357193907076	6.24389905371546
ILMN_3168721	hsa-miR-106a*	0.898674602395366	0.72930256238883	0.346814055008125	-6.85468389655238	0.00910027084663767	6.45613540403153
ILMN_3168598	hsa-miR-1253	0.898674602395366	0.723913397787051	0.354013401088577	-6.86195689351016	0.0138985135958585	6.43541283560519
ILMN_3168749	hsa-miR-455-3p	0.912078625814332	0.756533602360185	0.31070299042553	-6.86614609783127	0.00853071788636761	13.2675583001894
ILMN_3167169		0.894175210981483	0.713009500517246	0.368636985284547	-6.86775227089012	0.0134744509783857	6.40730045996382
ILMN_3167433	hsa-miR-575	0.69533913202543	0.357689736910898	-0.923116080145786	-6.891296704882	-0.0328404784584109	5.56826607437812
ILMN_3168704	hsa-miR-124*	0.735178991604188	0.41542428608551	0.817048462332404	-6.89830009398784	0.0250559840605611	5.76645117230223
ILMN_3167509	hsa-miR-363*	0.845861783204837	0.593950108032043	-0.53446526425161	-6.90308540715961	-0.0299899165651061	6.11901617239989
